PESEL,imie,nazwisko,kodpocztowy,telefon,datarekrutacji,sredniamaturalna,statusaplikacji,IDwydzialu,nazwawydzialu
23042370089,Paulina,Król,04-186,+48 775-545-816,2025-06-12,63.52,odrzucony,5,Ekonomia
69715457169,Zofia,Pietrzak,54-876,+48 745-255-786,2025-06-09,83.83,zaakceptowany,0,Informatyka
18302135271,Rafał,Wilczyński,37-986,+48 569-772-628,2025-06-19,80.19,oczekuje,3,Fizyka
85066971625,Natalia,Staniszewska,57-972,+48 800-580-272,2025-07-02,61.11,odrzucony,6,Filologia
76231393805,Dominika,Kucharska,83-087,+48 894-827-766,2025-06-07,67.44,odrzucony,3,Fizyka
58131835704,Dominika,Skiba,59-666,+48 755-837-859,2025-06-07,75.02,odrzucony,1,Matematyka
82640698691,Krzysztof,Kwiatkowski,34-398,+48 757-175-477,2025-06-09,73.57,zaakceptowany,4,Prawo
06296492176,Tymon,Polak,18-685,+48 792-709-539,2025-06-16,67.44,oczekuje,1,Matematyka
55206583961,Cecylia,Michalska,76-397,+48 590-393-280,2025-06-16,53.44,odrzucony,3,Fizyka
51888161051,Leon,Bednarek,57-747,+48 593-568-904,2025-06-22,51.62,odrzucony,2,Biologia
42767446989,Katarzyna,Baran,76-191,+48 530-361-555,2025-06-30,74.09,odrzucony,0,Informatyka
89538080618,Cezary,Wilk,82-328,+48 565-662-762,2025-07-04,59.8,odrzucony,5,Ekonomia
74045409477,Rafał,Michalski,39-492,+48 781-839-360,2025-06-11,88.47,zaakceptowany,3,Fizyka
78090368587,Dominika,Nowak,65-163,+48 534-161-779,2025-06-22,63.48,oczekuje,5,Ekonomia
06871079967,Milena,Woźniak,05-015,+48 831-526-234,2025-06-10,70.77,zaakceptowany,7,Medycyna
69000989876,Andrzej,Borowski,20-081,+48 803-150-642,2025-06-12,74.1,odrzucony,0,Informatyka
08432760899,Cezary,Czarnecki,80-348,+48 668-156-649,2025-06-28,61.19,oczekuje,2,Biologia
42036574023,Beata,Borowska,71-221,+48 646-915-777,2025-06-27,60.65,zaakceptowany,5,Ekonomia
67191554306,Laura,Borowska,34-860,+48 775-883-930,2025-06-27,52.21,odrzucony,0,Informatyka
45346803337,Mikołaj,Wróbel,29-205,+48 777-456-821,2025-07-01,62.66,zaakceptowany,3,Fizyka
81944462456,Maciej,Gajewski,99-993,+48 510-855-161,2025-07-04,69.59,odrzucony,7,Medycyna
05468235904,Katarzyna,Wróblewska,84-212,+48 784-901-184,2025-06-12,58.29,odrzucony,6,Filologia
45124328440,Marcelina,Bednarek,37-947,+48 660-523-501,2025-07-02,66.35,zaakceptowany,0,Informatyka
45463974613,Andrzej,Sobczak,79-994,+48 764-106-168,2025-06-15,80.67,oczekuje,7,Medycyna
95897559057,Eryk,Michalak,95-809,+48 523-194-157,2025-06-23,69.21,odrzucony,1,Matematyka
01899851047,Natasza,Nowicka,28-059,+48 870-427-832,2025-06-08,87.74,zaakceptowany,4,Prawo
95204600711,Wiktor,Wilk,64-812,+48 625-629-294,2025-06-22,79.61,oczekuje,1,Matematyka
67699343196,Bartosz,Woźniak,56-261,+48 648-872-798,2025-07-04,52.98,odrzucony,7,Medycyna
75746256842,Gabriela,Szymańska,57-757,+48 876-263-902,2025-06-09,51.72,odrzucony,5,Ekonomia
72481299051,Nikodem,Pietrzak,27-262,+48 516-696-414,2025-06-24,57.31,odrzucony,0,Informatyka
96526905691,Szymon,Rutkowski,52-945,+48 874-503-782,2025-06-17,50.08,odrzucony,5,Ekonomia
30020997700,Oliwia,Gajewska,50-298,+48 590-365-977,2025-06-17,52.47,odrzucony,7,Medycyna
48284458753,Leon,Adamczyk,26-588,+48 618-831-370,2025-06-12,79.12,zaakceptowany,2,Biologia
52898291580,Paulina,Adamczyk,25-607,+48 793-894-359,2025-06-26,60.73,odrzucony,0,Informatyka
23113998124,Milena,Piotrowska,38-321,+48 703-975-823,2025-06-18,57.85,odrzucony,5,Ekonomia
27601828648,Hanna,Andrzejewska,51-902,+48 645-542-916,2025-06-19,61.61,zaakceptowany,6,Filologia
67913937432,Eryk,Mazur,56-423,+48 539-326-626,2025-06-24,65.63,odrzucony,4,Prawo
25084755351,Oskar,Adamczyk,56-927,+48 722-937-139,2025-07-02,75.93,zaakceptowany,5,Ekonomia
12371824027,Natalia,Lis,01-666,+48 532-116-555,2025-06-09,52.12,odrzucony,0,Informatyka
86302075169,Oliwia,Dąbrowska,42-030,+48 535-631-161,2025-07-03,82.39,oczekuje,4,Prawo
60214696053,Igor,Mazur,88-474,+48 803-311-975,2025-06-19,53.59,odrzucony,5,Ekonomia
94714222189,Weronika,Staniszewska,24-927,+48 762-914-407,2025-06-22,74.86,zaakceptowany,1,Matematyka
73707096968,Marcelina,Wilk,10-403,+48 732-598-956,2025-06-18,88.76,oczekuje,5,Ekonomia
55011197646,Dominika,Matusiak,20-666,+48 597-772-673,2025-07-04,86.84,zaakceptowany,7,Medycyna
45891101927,Weronika,Wilczyńska,16-225,+48 804-890-343,2025-06-27,67.94,odrzucony,4,Prawo
22315046321,Beata,Kaczmarek,83-057,+48 881-398-725,2025-06-21,80.06,oczekuje,5,Ekonomia
51243493529,Barbara,Czarnecka,35-959,+48 654-976-238,2025-07-06,69.15,oczekuje,2,Biologia
21712367219,Grzegorz,Skiba,42-629,+48 778-879-569,2025-06-06,77.42,zaakceptowany,1,Matematyka
69167321082,Oliwia,Rutkowska,67-204,+48 869-874-786,2025-06-18,53.78,odrzucony,5,Ekonomia
88499648854,Kamil,Grabowski,03-847,+48 567-741-856,2025-07-06,78.12,odrzucony,6,Filologia
19374412974,Oskar,Sikora,32-349,+48 692-850-632,2025-06-21,88.86,zaakceptowany,1,Matematyka
53809491567,Magdalena,Grabowska,20-787,+48 598-385-220,2025-06-13,52.99,odrzucony,0,Informatyka
41307623775,Filip,Grzelak,98-824,+48 685-678-846,2025-07-04,79.24,odrzucony,7,Medycyna
51453803165,Sylwia,Sobczak,33-796,+48 874-715-256,2025-06-13,53.93,odrzucony,7,Medycyna
42940610375,Tymon,Tokarski,10-976,+48 502-561-601,2025-06-22,62.68,zaakceptowany,2,Biologia
91918849745,Laura,Sadowska,56-823,+48 732-716-801,2025-06-12,57.19,odrzucony,4,Prawo
63614602528,Eliza,Lis,38-077,+48 753-701-760,2025-06-06,53.59,odrzucony,1,Matematyka
71950672719,Grzegorz,Kamiński,63-462,+48 869-709-452,2025-07-05,56.03,odrzucony,1,Matematyka
01874951935,Damian,Kubiak,12-759,+48 710-682-214,2025-06-25,71.83,zaakceptowany,3,Fizyka
77309269738,Patryk,Baran,66-970,+48 638-646-805,2025-06-13,81.64,zaakceptowany,6,Filologia
15008269562,Beata,Polak,82-861,+48 583-569-244,2025-06-27,51.17,odrzucony,2,Biologia
96164580352,Mikołaj,Stępień,27-037,+48 714-159-694,2025-06-16,73.7,oczekuje,7,Medycyna
58847836528,Julia,Tokarska,68-577,+48 741-396-569,2025-06-25,71.68,odrzucony,3,Fizyka
05084819082,Roksana,Wróblewska,56-470,+48 880-597-679,2025-06-23,54.76,odrzucony,4,Prawo
36640408209,Barbara,Mazur,95-611,+48 559-291-705,2025-06-07,65.35,zaakceptowany,5,Ekonomia
83042230649,Marcelina,Czarnecka,25-787,+48 593-843-802,2025-06-23,80.62,zaakceptowany,0,Informatyka
40879881576,Dawid,Wiśniewski,10-440,+48 568-270-884,2025-06-26,86.64,zaakceptowany,4,Prawo
86163173275,Oskar,Wójcik,54-558,+48 657-412-170,2025-06-21,50.48,odrzucony,6,Filologia
69635544050,Dawid,Stępień,97-605,+48 652-628-116,2025-06-21,59.19,odrzucony,4,Prawo
51291512848,Beata,Polak,59-109,+48 578-341-674,2025-06-24,57.31,odrzucony,5,Ekonomia
54198130231,Maciej,Ostrowski,56-495,+48 836-938-158,2025-06-26,57.38,odrzucony,2,Biologia
96995555343,Sandra,Król,13-619,+48 801-815-250,2025-06-22,56.19,odrzucony,6,Filologia
24911873488,Kinga,Wilk,42-705,+48 558-215-233,2025-07-03,65.33,zaakceptowany,4,Prawo
61384792024,Hanna,Orłowska,04-947,+48 673-810-408,2025-06-08,75.1,zaakceptowany,7,Medycyna
95004841463,Natasza,Nowicka,41-572,+48 661-831-110,2025-06-23,66.02,odrzucony,4,Prawo
54985172266,Natalia,Król,38-492,+48 683-700-642,2025-06-17,81.6,oczekuje,0,Informatyka
17046428091,Krzysztof,Zając,87-976,+48 684-802-446,2025-06-10,65.89,zaakceptowany,1,Matematyka
26712428919,Damian,Lewandowski,51-543,+48 853-251-590,2025-07-01,87.19,zaakceptowany,0,Informatyka
68974377061,Dominika,Kozłowska,01-143,+48 821-235-164,2025-06-26,88.17,zaakceptowany,0,Informatyka
97226557833,Filip,Tokarski,43-581,+48 739-745-516,2025-07-04,77.38,odrzucony,3,Fizyka
90311861907,Gabriela,Rutkowska,95-943,+48 726-110-647,2025-06-17,69.27,oczekuje,4,Prawo
70959060745,Gabriela,Szulc,69-736,+48 852-127-964,2025-06-08,74.2,oczekuje,2,Biologia
82124619532,Cezary,Sobczak,61-201,+48 736-331-156,2025-06-12,54.27,odrzucony,6,Filologia
86032641308,Weronika,Wróblewska,92-678,+48 702-620-179,2025-06-08,71.11,zaakceptowany,4,Prawo
73803556968,Barbara,Grzelak,22-053,+48 848-558-395,2025-06-19,71.83,odrzucony,3,Fizyka
02959194050,Dawid,Dąbrowski,69-816,+48 657-125-816,2025-07-06,79.43,odrzucony,0,Informatyka
35912930279,Wiktor,Polak,32-863,+48 584-925-297,2025-07-04,53.59,odrzucony,7,Medycyna
44590538960,Sandra,Baran,49-852,+48 857-408-248,2025-06-18,51.06,odrzucony,6,Filologia
68471338477,Andrzej,Kwiatkowski,55-295,+48 739-611-269,2025-07-05,57.04,odrzucony,6,Filologia
97456612367,Oliwia,Mazur,22-720,+48 546-551-776,2025-06-30,68.93,oczekuje,4,Prawo
70666427165,Marcelina,Szulc,98-833,+48 896-474-494,2025-06-12,67.67,zaakceptowany,5,Ekonomia
64747048731,Jakub,Mazur,26-124,+48 506-588-528,2025-06-16,62.92,zaakceptowany,1,Matematyka
85318205989,Lena,Głowacka,64-327,+48 676-253-413,2025-06-07,69.48,odrzucony,4,Prawo
86090490292,Rafał,Malinowski,73-518,+48 517-321-668,2025-06-16,69.87,zaakceptowany,3,Fizyka
15634124564,Beata,Jankowska,01-953,+48 841-885-938,2025-06-22,57.19,odrzucony,1,Matematyka
20217521501,Weronika,Szymańska,84-752,+48 806-780-621,2025-07-05,81.3,oczekuje,4,Prawo
66619239999,Dawid,Malinowski,98-723,+48 678-211-500,2025-07-01,54.45,odrzucony,0,Informatyka
13353059351,Igor,Urban,95-765,+48 758-585-859,2025-06-27,80.21,zaakceptowany,5,Ekonomia
20521888601,Katarzyna,Janowska,66-907,+48 761-237-372,2025-06-20,64.66,zaakceptowany,1,Matematyka
63558892961,Beata,Kubiak,51-346,+48 619-637-870,2025-07-03,80.55,zaakceptowany,4,Prawo
14154176973,Kamil,Lewandowski,23-054,+48 541-290-891,2025-06-22,89.13,oczekuje,3,Fizyka
11715974966,Dominika,Janowska,70-872,+48 705-613-331,2025-06-09,88.45,oczekuje,1,Matematyka
23634201551,Mikołaj,Kamiński,27-546,+48 884-947-786,2025-06-23,57.63,odrzucony,5,Ekonomia
25168415698,Igor,Nowicki,67-840,+48 724-140-606,2025-07-02,87.67,zaakceptowany,2,Biologia
51598758449,Natasza,Matusiak,71-885,+48 718-675-586,2025-06-06,76.68,oczekuje,6,Filologia
28846192958,Oskar,Jabłoński,60-662,+48 582-231-767,2025-06-12,64.11,zaakceptowany,0,Informatyka
44885256992,Mikołaj,Kucharski,77-995,+48 502-138-832,2025-06-13,60.18,oczekuje,3,Fizyka
62364308320,Paulina,Mazur,73-878,+48 646-639-316,2025-06-28,67.86,zaakceptowany,4,Prawo
88317175306,Lidia,Andrzejewska,53-684,+48 777-923-756,2025-06-26,79.34,zaakceptowany,2,Biologia
94297489789,Beata,Szymańska,08-633,+48 600-785-998,2025-07-05,77.41,zaakceptowany,3,Fizyka
40429834241,Cecylia,Dąbrowska,02-272,+48 772-852-577,2025-06-09,89.23,zaakceptowany,1,Matematyka
47572642647,Anna,Borowska,57-697,+48 622-694-971,2025-06-30,50.62,odrzucony,3,Fizyka
79384544865,Dominika,Urban,38-086,+48 891-894-383,2025-06-28,68.47,odrzucony,0,Informatyka
87685995306,Dominika,Janik,93-787,+48 698-909-762,2025-07-02,51.99,odrzucony,3,Fizyka
62460795979,Kamil,Szulc,45-443,+48 605-362-249,2025-06-19,50.68,odrzucony,6,Filologia
95700715170,Rafał,Michalski,48-798,+48 642-594-613,2025-06-23,58.33,odrzucony,2,Biologia
47341018695,Kamil,Dąbrowski,33-615,+48 718-345-503,2025-06-09,55.34,odrzucony,1,Matematyka
80923320599,Adam,Wiśniewski,95-229,+48 784-820-517,2025-06-13,72.85,odrzucony,0,Informatyka
14286667681,Oliwia,Polak,19-500,+48 819-966-193,2025-06-11,85.5,zaakceptowany,3,Fizyka
74565713666,Roksana,Grzelak,53-650,+48 508-609-886,2025-06-19,68.89,oczekuje,4,Prawo
84850690562,Hanna,Dąbrowska,15-961,+48 891-914-683,2025-06-15,71.16,odrzucony,5,Ekonomia
90945087122,Julia,Kubiak,68-847,+48 726-784-703,2025-06-29,65.16,zaakceptowany,0,Informatyka
58230051926,Sylwia,Czerwińska,63-854,+48 591-168-110,2025-06-25,51.86,odrzucony,0,Informatyka
17720454244,Lena,Malinowska,71-085,+48 783-404-387,2025-06-18,59.66,odrzucony,1,Matematyka
27555579264,Roksana,Walczak,60-406,+48 688-904-442,2025-06-14,88.11,zaakceptowany,4,Prawo
09293695702,Beata,Piotrowska,28-994,+48 848-178-310,2025-06-10,76.77,odrzucony,2,Biologia
95597947518,Eryk,Nowak,31-424,+48 723-705-166,2025-06-10,84.11,oczekuje,7,Medycyna
58706279221,Lena,Michalak,09-031,+48 752-351-904,2025-06-24,69.68,oczekuje,0,Informatyka
29291584854,Adam,Musiał,83-002,+48 500-270-589,2025-06-25,82.76,oczekuje,0,Informatyka
92866818631,Borys,Mazurek,72-579,+48 526-419-897,2025-06-19,79.16,odrzucony,7,Medycyna
53480354846,Paulina,Malinowska,23-140,+48 824-329-449,2025-06-18,54.51,odrzucony,2,Biologia
07661615727,Hanna,Skiba,84-729,+48 722-562-586,2025-07-06,55.96,odrzucony,0,Informatyka
05094189507,Gabriela,Król,73-931,+48 598-802-347,2025-06-20,53.33,odrzucony,0,Informatyka
49954992940,Cecylia,Michalska,06-114,+48 529-807-836,2025-06-08,55.0,odrzucony,1,Matematyka
38536693422,Eliza,Pietrzak,96-754,+48 626-418-459,2025-06-06,70.39,oczekuje,6,Filologia
12118679376,Szymon,Górski,70-445,+48 529-645-785,2025-06-22,56.33,odrzucony,7,Medycyna
61266037838,Patryk,Makowski,99-107,+48 883-763-937,2025-06-09,58.92,odrzucony,3,Fizyka
10594592708,Paulina,Lis,47-416,+48 629-583-896,2025-06-20,71.83,zaakceptowany,5,Ekonomia
28879134316,Szymon,Czerwiński,28-984,+48 875-609-210,2025-06-10,59.2,odrzucony,3,Fizyka
36775503402,Iga,Wójcik,50-384,+48 594-900-818,2025-06-07,60.35,zaakceptowany,3,Fizyka
03228264829,Milena,Wilczyńska,87-605,+48 619-935-516,2025-06-09,78.41,zaakceptowany,4,Prawo
93980104952,Bartosz,Mazurek,11-979,+48 540-268-688,2025-07-04,73.59,oczekuje,5,Ekonomia
79565379094,Grzegorz,Wieczorek,59-553,+48 758-992-787,2025-06-11,70.52,zaakceptowany,5,Ekonomia
19418294762,Gabriela,Czarnecka,20-122,+48 609-264-292,2025-07-02,84.24,zaakceptowany,6,Filologia
86952049268,Natalia,Kozłowska,50-842,+48 695-262-405,2025-07-01,79.05,oczekuje,2,Biologia
73978423044,Lena,Sikora,24-962,+48 505-901-661,2025-06-07,76.61,oczekuje,1,Matematyka
14550894576,Jakub,Pietrzak,32-882,+48 870-101-689,2025-06-18,75.85,odrzucony,1,Matematyka
33301798196,Patryk,Polak,19-180,+48 678-518-266,2025-06-08,84.5,zaakceptowany,3,Fizyka
34524546964,Oliwia,Jabłońska,98-164,+48 569-862-468,2025-07-06,88.17,zaakceptowany,1,Matematyka
83208224433,Fabian,Malinowski,57-833,+48 692-504-701,2025-06-18,64.65,zaakceptowany,2,Biologia
46839219422,Julia,Wójcik,26-405,+48 773-290-398,2025-06-16,61.11,odrzucony,5,Ekonomia
87323052758,Oskar,Ostrowski,32-146,+48 738-125-606,2025-06-14,64.51,zaakceptowany,5,Ekonomia
08890708866,Marcelina,Musiał,58-192,+48 602-870-388,2025-06-11,76.65,zaakceptowany,0,Informatyka
07419925845,Lena,Michalak,11-309,+48 832-215-175,2025-06-17,78.88,zaakceptowany,4,Prawo
04144352959,Bartosz,Pietrzak,24-196,+48 869-756-456,2025-06-15,63.83,zaakceptowany,6,Filologia
82743692156,Aleksander,Tomczak,01-577,+48 553-827-346,2025-07-05,76.5,oczekuje,3,Fizyka
95140597197,Tymon,Pietrzak,91-281,+48 842-823-951,2025-06-07,88.0,oczekuje,4,Prawo
87511561057,Kamil,Wróbel,49-710,+48 587-577-481,2025-06-24,55.54,odrzucony,6,Filologia
52021170557,Szymon,Sikora,97-662,+48 538-952-127,2025-06-10,84.97,oczekuje,6,Filologia
44803025434,Adam,Janik,45-235,+48 656-675-834,2025-06-26,72.9,zaakceptowany,1,Matematyka
62300160083,Milena,Gajewska,77-549,+48 662-339-466,2025-06-06,87.47,zaakceptowany,4,Prawo
39838457627,Lena,Szymańska,29-016,+48 685-623-440,2025-06-16,84.7,oczekuje,6,Filologia
12752059556,Cezary,Gajewski,62-844,+48 622-499-273,2025-06-30,77.78,oczekuje,1,Matematyka
44298383270,Eryk,Kowalski,44-700,+48 643-460-543,2025-07-05,76.14,odrzucony,0,Informatyka
69842248344,Sylwia,Mazur,45-532,+48 827-763-188,2025-07-03,50.44,odrzucony,4,Prawo
25853463744,Katarzyna,Sobczak,95-414,+48 542-185-391,2025-06-22,56.04,odrzucony,6,Filologia
82335474263,Iga,Król,09-988,+48 595-771-496,2025-07-06,60.29,zaakceptowany,6,Filologia
03567250995,Filip,Krajewski,69-902,+48 700-709-619,2025-06-30,71.62,zaakceptowany,2,Biologia
52342061809,Paulina,Nowicka,93-144,+48 605-388-837,2025-06-18,60.51,odrzucony,3,Fizyka
01749349392,Krzysztof,Zieliński,90-270,+48 634-816-445,2025-06-21,64.46,oczekuje,7,Medycyna
91438596501,Barbara,Grzelak,86-184,+48 675-951-617,2025-07-03,88.32,oczekuje,5,Ekonomia
55533849474,Borys,Krajewski,25-534,+48 864-412-694,2025-06-12,83.39,oczekuje,6,Filologia
91087952146,Hanna,Tomczak,10-867,+48 556-365-155,2025-06-11,87.67,zaakceptowany,1,Matematyka
05697485477,Filip,Rutkowski,85-519,+48 503-242-788,2025-06-28,57.59,odrzucony,6,Filologia
78657205894,Tobiasz,Dąbrowski,63-295,+48 583-402-248,2025-06-13,64.52,oczekuje,0,Informatyka
25697290285,Zofia,Orłowska,36-626,+48 744-465-878,2025-06-06,88.23,zaakceptowany,5,Ekonomia
14678565300,Roksana,Wasilewska,70-281,+48 719-225-588,2025-07-02,61.04,zaakceptowany,7,Medycyna
84362945613,Nikodem,Kozłowski,43-945,+48 547-940-273,2025-06-19,83.08,zaakceptowany,4,Prawo
87808748691,Fabian,Zieliński,91-093,+48 647-166-128,2025-06-17,55.29,odrzucony,2,Biologia
79893285757,Oskar,Kucharski,05-674,+48 740-298-402,2025-06-10,78.04,zaakceptowany,7,Medycyna
09395945576,Krzysztof,Matusiak,61-050,+48 771-316-155,2025-06-20,88.51,zaakceptowany,0,Informatyka
59345795901,Beata,Rutkowska,71-403,+48 517-877-546,2025-06-21,86.2,oczekuje,1,Matematyka
45379717994,Mikołaj,Skiba,09-027,+48 841-822-489,2025-06-24,68.39,oczekuje,3,Fizyka
21420510954,Wiktor,Wróbel,31-073,+48 826-488-465,2025-06-06,61.76,odrzucony,4,Prawo
32159208983,Kinga,Gajewska,86-900,+48 533-307-196,2025-07-06,59.36,odrzucony,3,Fizyka
30093444721,Magdalena,Pietrzak,41-675,+48 738-149-542,2025-07-02,82.94,zaakceptowany,1,Matematyka
64608960544,Laura,Woźniak,42-676,+48 895-788-297,2025-06-12,57.8,odrzucony,4,Prawo
